id,scentName
0,nothing
1,ocean waves
2,lavender
3,floral
4,rainforest
5,waterfall
6,red berries
7,pine
8,chocolate
9,citrus
10,cut grass
11,burning wood
12,natural gas
13,petrol
14,burning plastic
15,body odour
16,blood
17,vomit
18,cleaning agent
19,mildew tunnels
20,green fig
21,cedar wood
22,baby powder
23,old hospital
24,cigarette smoke
27,scent1
28,scent2
29,scent3
30,scent4
31,scent5
32,scent6
